STEPS,U-CORRELATEDQ
69080,0.00495512571339418
69161,0.00446321489581436
69258,0.00401952438869913
69399,0.0036174045998365
69472,0.00326114356946405
69532,0.306162317591017
69648,0.275843339422224
69655,0.521273670990855
69690,0.470576248588095
69761,0.424522677347014
69772,0.383517904368432
69826,0.346170431235581
69869,0.312569350039624
69883,0.28242837118043
69987,0.254720355643389
70306,0.469519930257654
70336,0.424512988444448
70379,0.383740432784656
70388,0.347166045210706
70412,0.313984345983723
70559,0.283251395454947
70565,0.256373129308802
70638,0.23171939926743
70748,0.20930560681073
70758,0.189507342354428
70982,0.0846233476932845
71006,0.0766355288850704
71013,0.0694305095685515
71063,0.0628462325272778
71096,0.493910898258079
71098,0.447611532324235
71165,0.405091788288068
71178,0.367087956876176
71198,0.332609249660582
71204,0.301472348578891
71221,0.273189698020211
71288,0.247305139383393
71328,0.22403527901325
71405,0.202811966288621
71507,0.183531513889797
71531,0.166399125135957
71561,0.150854513320699
71601,0.136741640734314
71637,0.123970548125349
71807,0.112077365470995
72113,0.101064537988698
72221,0.212435401748074
72338,0.192516451551882
72360,0.174869471465993
72463,0.158568383591842
72505,0.144009678149338
72564,0.130751147086972
72579,0.118842229643882
72585,0.10804267342148
72718,0.0979542602655705
72742,0.0890447421883067
73035,0.0804749656901151
73070,0.0731877398069827
73085,0.066594605872055
73128,0.0605601723286426
73160,0.14376022137731
73204,0.130751661977307
73215,0.119017707603522
73235,0.108317935551764
73245,0.0986059910479717
73251,0.0897746597324378
73256,0.0817371323429335
73320,0.125547724412154
73397,0.114143425575175
73625,0.103446858256437
73648,0.0942236364372882
73731,0.0857131939052103
73746,0.0781026364421891
73819,0.071078795527086
73831,0.0647841535928677
73835,0.0590589391442293
73869,0.0538043699337258
73904,0.226281467896051
74025,0.205781466758602
74070,0.187502899109077
74120,0.170845282512094
74136,0.155801845298981
74178,0.142005705620559
74238,0.129390880710769
74255,0.118024689187713
74551,0.0963402961818183
74609,0.0878552746761194
74776,0.0799318214481488
74852,0.0728970668880322
74991,0.0663979098517054
75099,0.0790080190953049
75320,0.198627621427594
75399,0.181340639382096
75461,0.165649199908874
75466,0.151530631645389
75554,0.138356482452377
75567,0.126565930530063
75569,0.115812193881904
75665,0.105746862485642
75669,0.0967775700143747
75775,0.08836479244275
75859,0.0807414407112717
75989,0.12119185931876
76025,0.110906948294872
76134,0.101333456234766
76142,0.092821168384031
76210,0.0849088462523042
76359,0.0775379877104605
76385,0.0710286088895735
76428,0.0650438555391055
76491,0.0595413417573241
76515,0.0545602426471383
76548,0.0499880078172978
76582,0.0458010103019717
76682,0.0419040246009637
76713,0.0384074338995468
76757,0.0886396545495316
76871,0.0811006034197881
76892,0.0743795089689918
76972,0.0681255321430498
77141,0.0622792850644309
77169,0.0571405282682846
77193,0.0524336531743579
77255,0.13051334589591
77259,0.119839204992246
77267,0.110028762422427
77275,0.101023100210245
77471,0.254636587092374
